0,50,17,11,27,25,24,18,16,44,15,47,37,12,11,15
23,0,24,42,48,11,45,22,44,36,24,38,47,27,10,20
37,31,0,27,19,23,31,16,15,34,16,32,32,48,26,12
39,44,17,0,34,15,45,28,50,49,33,46,22,14,12,24
28,15,24,16,0,34,27,39,50,33,20,33,32,23,27,14
48,50,20,44,25,0,20,39,34,27,50,45,24,30,13,24
12,30,35,27,14,23,0,46,30,23,41,35,39,19,26,18
25,45,44,26,47,37,47,0,35,33,24,18,42,41,15,13
17,19,50,20,37,48,14,34,0,34,48,39,43,26,45,10
17,44,27,31,17,28,37,20,39,0,10,26,42,21,42,16
50,29,50,42,48,22,19,33,20,44,0,43,10,48,30,41
11,17,33,29,25,13,25,46,15,15,41,0,14,44,18,18
40,45,20,26,43,48,37,23,44,22,29,35,0,33,38,43
38,17,25,24,14,31,11,47,45,24,47,24,10,0,14,50
13,24,14,12,31,14,42,25,27,41,23,44,18,46,0,46
40,25,40,36,22,16,16,37,32,37,36,39,13,16,13,0
